YEAR,MO,DY,HR,WS10M
2023,1,30,0,1.18
2023,1,30,1,1.12
2023,1,30,2,1.0
2023,1,30,3,1.06
2023,1,30,4,1.15
2023,1,30,5,1.12
2023,1,30,6,1.12
2023,1,30,7,1.15
2023,1,30,8,1.18
2023,1,30,9,1.18
2023,1,30,10,1.1
2023,1,30,11,1.01
2023,1,30,12,1.54
2023,1,30,13,2.33
2023,1,30,14,2.49
2023,1,30,15,2.5
2023,1,30,16,2.41
2023,1,30,17,2.3
2023,1,30,18,2.25
2023,1,30,19,2.2
2023,1,30,20,2.11
2023,1,30,21,1.92
2023,1,30,22,1.42
2023,1,30,23,1.17
2023,1,31,0,1.15
2023,1,31,1,1.15
2023,1,31,2,1.13
2023,1,31,3,1.14
2023,1,31,4,1.21
2023,1,31,5,1.27
2023,1,31,6,1.32
2023,1,31,7,1.35
2023,1,31,8,1.34
2023,1,31,9,1.34
2023,1,31,10,1.32
2023,1,31,11,1.27
2023,1,31,12,1.79
2023,1,31,13,2.3
2023,1,31,14,2.43
2023,1,31,15,2.45
2023,1,31,16,2.47
2023,1,31,17,2.71
2023,1,31,18,2.99
2023,1,31,19,3.11
2023,1,31,20,3.05
2023,1,31,21,2.81
2023,1,31,22,2.11
2023,1,31,23,1.67
2023,2,1,0,1.4
2023,2,1,1,1.17
2023,2,1,2,1.08
2023,2,1,3,1.19
2023,2,1,4,1.25
2023,2,1,5,1.34
2023,2,1,6,1.41
2023,2,1,7,1.41
2023,2,1,8,1.39
2023,2,1,9,1.41
2023,2,1,10,1.46
2023,2,1,11,1.4
2023,2,1,12,2.36
2023,2,1,13,3.18
2023,2,1,14,3.34
2023,2,1,15,3.48
2023,2,1,16,3.72
2023,2,1,17,3.8
2023,2,1,18,3.67
2023,2,1,19,3.46
2023,2,1,20,3.19
2023,2,1,21,2.81
2023,2,1,22,1.95
2023,2,1,23,1.48
2023,2,2,0,1.21
2023,2,2,1,1.14
2023,2,2,2,1.18
2023,2,2,3,1.14
2023,2,2,4,1.07
2023,2,2,5,1.11
2023,2,2,6,1.11
2023,2,2,7,1.09
2023,2,2,8,1.11
2023,2,2,9,1.26
2023,2,2,10,1.36
2023,2,2,11,1.6
2023,2,2,12,2.78
2023,2,2,13,3.62
2023,2,2,14,3.77
2023,2,2,15,3.67
2023,2,2,16,3.83
2023,2,2,17,4.11
2023,2,2,18,4.18
2023,2,2,19,4.01
2023,2,2,20,3.76
2023,2,2,21,3.3
2023,2,2,22,2.28
